name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
TCS,3.9,(45.3k Reviews),Public,"Mumbai,Maharashtra + 254 more",54 years old,1 Lakh+ Employees (India)
Accenture,4.2,(29.7k Reviews),Public,"Dublin,Dublin + 137 more",33 years old,1 Lakh+ Employees (India)
Cognizant,4.0,(26.8k Reviews),Private,Teaneck. New Jersey. + 88 more,28 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(33.5k Reviews),Public,"Mumbai,Maharashtra + 1020 more",28 years old,50k-1 Lakh Employees (India)
Wipro,3.9,(25.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 261 more",77 years old,1 Lakh+ Employees (India)
HDFC Bank,4.0,(35k Reviews),Public,"Mumbai,Maharashtra + 1156 more",28 years old,1 Lakh+ Employees (India)
Capgemini,3.9,(21.9k Reviews),Public,Paris + 75 more,55 years old,1 Lakh+ Employees (India)
HCL Technologies,3.9,(21.4k Reviews),Public,"Noida,Uttar Pradesh + 162 more",46 years old,1 Lakh+ Employees (India)
Infosys,4.0,(25.6k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 120 more",41 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.8,(19.8k Reviews),Public,"Pune,Maharashtra + 195 more",36 years old,50k-1 Lakh Employees (India)
Genpact,4.0,(20k Reviews),Private,"New York,New York + 62 more",25 years old,50k-1 Lakh Employees (India)
Axis Bank,3.9,(17.6k Reviews),Public,"Mumbai,Maharashtra + 1023 more",29 years old,50k-1 Lakh Employees (India)
IBM,4.2,(14.6k Reviews),Public,"Armonk,New York + 116 more",111 years old,50k-1 Lakh Employees (India)
Amazon,4.2,(14.3k Reviews),Private,"Seattle,Washington + 334 more",28 years old,1 Lakh+ Employees (India)
Concentrix Corpo...,4.1,(14.2k Reviews),Public,"Fremont,California + 66 more",39 years old,10k-50k Employees (India)
Larsen & Toubro ...,4.1,(19.9k Reviews),Public,"Mumbai,Maharashtra + 513 more",84 years old,10k-50k Employees (India)
Reliance jio,4.0,(13.7k Reviews),Public,"Navi Mumbai,Maharashtra + 931 more",15 years old,10k-50k Employees (India)
Vodafone Idea,4.3,(13.2k Reviews),Public,"Gandhinagar,Gujrat + 555 more",4 years old,10k-50k Employees (India)
HDB Financial Se...,4.0,(12.4k Reviews),Private,"Ahmedabad,Gujrat + 738 more",15 years old,1 Lakh+ Employees (India)
Teleperformance,3.6,(10k Reviews),Private,Paris + 116 more,44 years old,50k-1 Lakh Employees (India)
Kotak Mahindra B...,3.9,(12.8k Reviews),Public,"Mumbai,Maharashtra + 464 more",19 years old,10k-50k Employees (India)
Reliance Industr...,4.1,(39k Reviews),Public,"Navi Mumbai,Maharashtra + 441 more",49 years old,1 Lakh+ Employees (India)
Bharti Airtel,4.1,(12k Reviews),Public,"Gurgaon/Gurugram,Haryana + 480 more",27 years old,5k-10k Employees (India)
Deloitte,4.1,(8.6k Reviews),Private,"New York,New York + 131 more",177 years old,10k-50k Employees (India)
Tata Motors,4.1,(8.5k Reviews),Public,"Pune,Maharashtra + 379 more",77 years old,50k-1 Lakh Employees (India)
Reliance Retail,4.1,(13.4k Reviews),Private,"Navi Mumbai,Maharashtra + 556 more",16 years old,1 Lakh+ Employees (India)
Mahindra & Mahin...,4.1,(19.8k Reviews),Public,"Mumbai,Maharashtra + 396 more",77 years old,10k-50k Employees (India)
WNS,3.7,(6.5k Reviews),Private,"Mumbai,Maharashtra + 21 more",26 years old,10k-50k Employees (India)
IndusInd Bank,3.8,(6.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 539 more",28 years old,10k-50k Employees (India)
DXC Technology,3.9,(6.5k Reviews),Public,"Minato,Tokyo + 56 more",31 years old,10k-50k Employees (India)
Flipkart,4.2,(10.3k Reviews),Public,"Bangalore,Karnataka + 403 more",15 years old,10k-50k Employees (India)
Hinduja Global S...,4.0,(5.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 74 more",22 years old,1k-5k Employees (India)
Ernst & Young,3.8,(5.6k Reviews),Private,London + 70 more,20 years old,50k-1 Lakh Employees (India)
Maruti Suzuki,4.1,(5.6k Reviews),Public,"New Delhi,Delhi + 369 more",39 years old,10k-50k Employees (India)
Infosys BPM,4.0,(5.4k Reviews),"Bangalore/Bengaluru,Karnataka + 44 more",20 years old,10k-50k Employees (India),
Samsung,4.1,(7.8k Reviews),Private,"Ridgefield Park,NJ + 420 more",84 years old,50k-1 Lakh Employees (India)
HSBC,4.1,(5.6k Reviews),Private,"Pune,Maharashtra + 55 more",20 years old,10k-50k Employees (India)
BYJU'S,3.6,(9.6k Reviews),Private,"Bangalore,Karnataka + 156 more",11 years old,1k-5k Employees (India)
Ericsson,4.3,(5.2k Reviews),Private,"Stockholm,Stockholm County + 129 more",146 years old,10k-50k Employees (India)
Bajaj Finserv,4.1,(12.9k Reviews),Public,"Pune,Maharashtra + 631 more",15 years old,10k-50k Employees (India)
Conneqt Business...,3.8,(4.8k Reviews),Private,"Mumbai,Maharashtra + 147 more",20 years old,10k-50k Employees (India)
IDFC FIRST Bank,4.0,(4.7k Reviews),Public,"Mumbai,Maharashtra + 355 more",4 years old,10k-50k Employees (India)
Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 127 more",36 years old,10k-50k Employees (India)
Startek,3.5,(4.6k Reviews),Public,"Mumbai,Maharashtra + 51 more",5 years old,5k-10k Employees (India)
Mphasis,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 41 more",22 years old,1k-5k Employees (India)
Jana Small Finan...,3.9,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 302 more",16 years old,10k-50k Employees (India)
Sutherland Globa...,3.9,(4.9k Reviews),Private,"Pittsford,New York + 41 more",36 years old,10k-50k Employees (India)
Cipla Pharmaceut...,4.1,(4.5k Reviews),Public,"Mumbai,Maharashtra + 183 more",87 years old,10k-50k Employees (India)
Yes Bank,4.0,(4.3k Reviews),Public,"Mumbai,Maharashtra + 348 more",18 years old,10k-50k Employees (India)
ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 395 more",22 years old,10k-50k Employees (India)
